category,cmpl_fc1,cmpl_fc1_cd,cmpl_fc2,synonym,lemma
Mattresses,odor,CF017,mildew,mildewy,mildewy
Mattress Toppers,odor,CF017,mildew,mildewy,mildewy
Mattresses,odor,CF017,mildew,mouldy,mouldy
Mattress Toppers,odor,CF017,mildew,mouldy,mouldy
Mattresses,odor,CF017,mildew,molds,molds
Mattress Toppers,odor,CF017,mildew,molds,molds
Mattresses,odor,CF017,mildew,mildewed,mildewed
Mattress Toppers,odor,CF017,mildew,mildewed,mildewed
Mattresses,odor,CF017,mildew,mold,mold
Mattress Toppers,odor,CF017,mildew,mold,mold
Mattresses,odor,CF017,mildew,must,must
Mattress Toppers,odor,CF017,mildew,must,must
Mattresses,odor,CF017,mildew,mould,mould
Mattress Toppers,odor,CF017,mildew,mould,mould
Mattresses,odor,CF017,mildew,moldy,moldy
Mattress Toppers,odor,CF017,mildew,moldy,moldy
Mattresses,odor,CF017,mildew,moth,moth
Mattress Toppers,odor,CF017,mildew,moth,moth
All,others,CF999,light,so lightweight,so lightweight
All,others,CF999,light,too light,too light
All,others,CF999,light,very light,very light
All,others,CF999,light,so light,so light
All,others,CF999,light,extremely light,extremely light
Beds,size issue,CF008,short,very short,very short
Bed Frames,size issue,CF008,short,very short,very short
Mattresses,size issue,CF008,short,very short,very short
Box Springs,size issue,CF008,short,very short,very short
Sofas & Couches,size issue,CF008,short,very short,very short
Mattress Toppers,size issue,CF008,short,very short,very short
Beds,size issue,CF008,short,so shorter,so shorter
Bed Frames,size issue,CF008,short,so shorter,so shorter
Mattresses,size issue,CF008,short,so shorter,so shorter
Box Springs,size issue,CF008,short,so shorter,so shorter
Sofas & Couches,size issue,CF008,short,so shorter,so shorter
Mattress Toppers,size issue,CF008,short,so shorter,so shorter
Beds,size issue,CF008,short,so short,so short
Bed Frames,size issue,CF008,short,so short,so short
Mattresses,size issue,CF008,short,so short,so short
Box Springs,size issue,CF008,short,so short,so short
Sofas & Couches,size issue,CF008,short,so short,so short
Mattress Toppers,size issue,CF008,short,so short,so short
Beds,size issue,CF008,short,too short,too short
Bed Frames,size issue,CF008,short,too short,too short
Mattresses,size issue,CF008,short,too short,too short
Box Springs,size issue,CF008,short,too short,too short
Sofas & Couches,size issue,CF008,short,too short,too short
Mattress Toppers,size issue,CF008,short,too short,too short
[NULL],hard to set up,CF010,hard to assemble,so difficult,so difficult
[NULL],hard to set up,CF010,hard to assemble,not an easy assembly,not an easy assembly
[NULL],hard to set up,CF010,hard to assemble,so compliacted,so compliacted
[NULL],hard to set up,CF010,hard to assemble,very complicated,very complicated
[NULL],hard to set up,CF010,hard to assemble,time consuming assembly,time consume assembly
[NULL],hard to set up,CF010,hard to assemble,difficult to assemble,difficult to assemble
[NULL],hard to set up,CF010,hard to assemble,assembly required,assembly required
[NULL],hard to set up,CF010,hard to assemble,too compliacted,too compliacted
[NULL],hard to set up,CF010,hard to assemble,very difficult,very difficult
[NULL],hard to set up,CF010,hard to assemble,unable to assemble,unable to assemble
[NULL],hard to set up,CF010,hard to assemble,too difficult,too difficult
[NULL],hard to set up,CF010,hard to assemble,hard to install,hard to install
[NULL],hard to set up,CF010,hard to assemble,none,none
Beds,durability,CF001,sinking,sink,sink
Bed Frames,durability,CF001,sinking,sink,sink
Mattresses,durability,CF001,sinking,sink,sink
Box Springs,durability,CF001,sinking,sink,sink
Sofas & Couches,durability,CF001,sinking,sink,sink
Mattress Toppers,durability,CF001,sinking,sink,sink
Beds,durability,CF001,sinking,hole in the middle,hole in the middle
Bed Frames,durability,CF001,sinking,hole in the middle,hole in the middle
Mattresses,durability,CF001,sinking,hole in the middle,hole in the middle
Box Springs,durability,CF001,sinking,hole in the middle,hole in the middle
Sofas & Couches,durability,CF001,sinking,hole in the middle,hole in the middle
Mattress Toppers,durability,CF001,sinking,hole in the middle,hole in the middle
Beds,durability,CF001,sinking,sinkage,sinkage
Bed Frames,durability,CF001,sinking,sinkage,sinkage
Mattresses,durability,CF001,sinking,sinkage,sinkage
Box Springs,durability,CF001,sinking,sinkage,sinkage
Sofas & Couches,durability,CF001,sinking,sinkage,sinkage
Mattress Toppers,durability,CF001,sinking,sinkage,sinkage
Beds,durability,CF001,sinking,settle,settle
Bed Frames,durability,CF001,sinking,settle,settle
Mattresses,durability,CF001,sinking,settle,settle
Box Springs,durability,CF001,sinking,settle,settle
Sofas & Couches,durability,CF001,sinking,settle,settle
Mattress Toppers,durability,CF001,sinking,settle,settle
Beds,durability,CF001,sinking,dip,dip
Bed Frames,durability,CF001,sinking,dip,dip
Mattresses,durability,CF001,sinking,dip,dip
Box Springs,durability,CF001,sinking,dip,dip
Sofas & Couches,durability,CF001,sinking,dip,dip
Mattress Toppers,durability,CF001,sinking,dip,dip
Beds,durability,CF001,sinking,sank,sank
Bed Frames,durability,CF001,sinking,sank,sank
Mattresses,durability,CF001,sinking,sank,sank
Box Springs,durability,CF001,sinking,sank,sank
Sofas & Couches,durability,CF001,sinking,sank,sank
Mattress Toppers,durability,CF001,sinking,sank,sank
Beds,durability,CF001,sinking,drop,drop
Bed Frames,durability,CF001,sinking,drop,drop
Mattresses,durability,CF001,sinking,drop,drop
Box Springs,durability,CF001,sinking,drop,drop
Sofas & Couches,durability,CF001,sinking,drop,drop
Mattress Toppers,durability,CF001,sinking,drop,drop
Beds,durability,CF001,sinking,falls apart,falls apart
Bed Frames,durability,CF001,sinking,falls apart,falls apart
Mattresses,durability,CF001,sinking,falls apart,falls apart
Box Springs,durability,CF001,sinking,falls apart,falls apart
Sofas & Couches,durability,CF001,sinking,falls apart,falls apart
Mattress Toppers,durability,CF001,sinking,falls apart,falls apart
Beds,durability,CF001,sinking,go under,go under
Bed Frames,durability,CF001,sinking,go under,go under
Mattresses,durability,CF001,sinking,go under,go under
Box Springs,durability,CF001,sinking,go under,go under
Sofas & Couches,durability,CF001,sinking,go under,go under
Mattress Toppers,durability,CF001,sinking,go under,go under
Beds,durability,CF001,sinking,sunked,sunked
Bed Frames,durability,CF001,sinking,sunked,sunked
Mattresses,durability,CF001,sinking,sunked,sunked
Box Springs,durability,CF001,sinking,sunked,sunked
Sofas & Couches,durability,CF001,sinking,sunked,sunked
Mattress Toppers,durability,CF001,sinking,sunked,sunked
Beds,durability,CF001,sinking,started to break down,started to break down
Bed Frames,durability,CF001,sinking,started to break down,started to break down
Mattresses,durability,CF001,sinking,started to break down,started to break down
Box Springs,durability,CF001,sinking,started to break down,started to break down
Sofas & Couches,durability,CF001,sinking,started to break down,started to break down
Mattress Toppers,durability,CF001,sinking,started to break down,started to break down
Beds,durability,CF001,sinking,so sinks,so sinks
Bed Frames,durability,CF001,sinking,so sinks,so sinks
Mattresses,durability,CF001,sinking,so sinks,so sinks
Box Springs,durability,CF001,sinking,so sinks,so sinks
Sofas & Couches,durability,CF001,sinking,so sinks,so sinks
Mattress Toppers,durability,CF001,sinking,so sinks,so sinks
Beds,durability,CF001,sinking,sagging,sagging
Bed Frames,durability,CF001,sinking,sagging,sagging
Mattresses,durability,CF001,sinking,sagging,sagging
Box Springs,durability,CF001,sinking,sagging,sagging
Sofas & Couches,durability,CF001,sinking,sagging,sagging
Mattress Toppers,durability,CF001,sinking,sagging,sagging
Beds,durability,CF001,sinking,go down,go down
Bed Frames,durability,CF001,sinking,go down,go down
Mattresses,durability,CF001,sinking,go down,go down
Box Springs,durability,CF001,sinking,go down,go down
Sofas & Couches,durability,CF001,sinking,go down,go down
Mattress Toppers,durability,CF001,sinking,go down,go down
Beds,durability,CF001,sinking,sunk,sunk
Bed Frames,durability,CF001,sinking,sunk,sunk
Mattresses,durability,CF001,sinking,sunk,sunk
Box Springs,durability,CF001,sinking,sunk,sunk
Sofas & Couches,durability,CF001,sinking,sunk,sunk
Mattress Toppers,durability,CF001,sinking,sunk,sunk
Beds,durability,CF001,sinking,subside,subside
Bed Frames,durability,CF001,sinking,subside,subside
Mattresses,durability,CF001,sinking,subside,subside
Box Springs,durability,CF001,sinking,subside,subside
Sofas & Couches,durability,CF001,sinking,subside,subside
Mattress Toppers,durability,CF001,sinking,subside,subside
Beds,durability,CF001,sinking,too sunken,too sunken
Bed Frames,durability,CF001,sinking,too sunken,too sunken
Mattresses,durability,CF001,sinking,too sunken,too sunken
Box Springs,durability,CF001,sinking,too sunken,too sunken
Sofas & Couches,durability,CF001,sinking,too sunken,too sunken
Mattress Toppers,durability,CF001,sinking,too sunken,too sunken
Beds,durability,CF001,sinking,fall apart,fall apart
Bed Frames,durability,CF001,sinking,fall apart,fall apart
Mattresses,durability,CF001,sinking,fall apart,fall apart
Box Springs,durability,CF001,sinking,fall apart,fall apart
Sofas & Couches,durability,CF001,sinking,fall apart,fall apart
Mattress Toppers,durability,CF001,sinking,fall apart,fall apart
Beds,durability,CF001,sinking,cave in,cave in
Bed Frames,durability,CF001,sinking,cave in,cave in
Mattresses,durability,CF001,sinking,cave in,cave in
Box Springs,durability,CF001,sinking,cave in,cave in
Sofas & Couches,durability,CF001,sinking,cave in,cave in
Mattress Toppers,durability,CF001,sinking,cave in,cave in
Beds,durability,CF001,sinking,sinky,sinky
Bed Frames,durability,CF001,sinking,sinky,sinky
Mattresses,durability,CF001,sinking,sinky,sinky
Box Springs,durability,CF001,sinking,sinky,sinky
Sofas & Couches,durability,CF001,sinking,sinky,sinky
Mattress Toppers,durability,CF001,sinking,sinky,sinky
Beds,durability,CF001,sinking,deteriorate,deteriorate
Bed Frames,durability,CF001,sinking,deteriorate,deteriorate
Mattresses,durability,CF001,sinking,deteriorate,deteriorate
Box Springs,durability,CF001,sinking,deteriorate,deteriorate
Sofas & Couches,durability,CF001,sinking,deteriorate,deteriorate
Mattress Toppers,durability,CF001,sinking,deteriorate,deteriorate
Beds,durability,CF001,sinking,deteriorated,deteriorated
Bed Frames,durability,CF001,sinking,deteriorated,deteriorated
Mattresses,durability,CF001,sinking,deteriorated,deteriorated
Box Springs,durability,CF001,sinking,deteriorated,deteriorated
Sofas & Couches,durability,CF001,sinking,deteriorated,deteriorated
Mattress Toppers,durability,CF001,sinking,deteriorated,deteriorated
All,customer service,CF021,replacement,exchanged,exchanged
All,customer service,CF021,replacement,exchange,exchange
All,customer service,CF021,replacement,switch,switch
All,customer service,CF021,replacement,replacements,replacement
All,customer service,CF021,replacement,replaceable,replaceable
All,customer service,CF021,replacement,substitute,substitute
All,customer service,CF021,replacement,reorder,reorder
All,customer service,CF021,replacement,replaced,replaced
All,customer service,CF021,replacement,replaces,replaces
All,customer service,CF021,replacement,alternate,alternate
All,customer service,CF021,replacement,swap,swap
All,customer service,CF021,replacement,substitution,substitution
All,customer service,CF021,replacement,replacing,replacing
All,customer service,CF021,replacement,replace,replace
All,customer error,CF020,wrong purchase,none,none
All,others,CF999,legal agreement,none,none
Beds,missing parts,CF003,parts,[NULL],[NULL]
Bed Frames,missing parts,CF003,parts,[NULL],[NULL]
Box Springs,missing parts,CF003,parts,[NULL],[NULL]
Sofas & Couches,missing parts,CF003,parts,[NULL],[NULL]
Beds,defect,CF002,slat,spline,spline
Bed Frames,defect,CF002,slat,spline,spline
Mattresses,defect,CF002,slat,spline,spline
Box Springs,defect,CF002,slat,spline,spline
Sofas & Couches,defect,CF002,slat,spline,spline
Mattress Toppers,defect,CF002,slat,spline,spline
Beds,defect,CF002,slat,slate,slate
Bed Frames,defect,CF002,slat,slate,slate
Mattresses,defect,CF002,slat,slate,slate
Box Springs,defect,CF002,slat,slate,slate
Sofas & Couches,defect,CF002,slat,slate,slate
Mattress Toppers,defect,CF002,slat,slate,slate
Beds,defect,CF002,slat,slats,slat
Bed Frames,defect,CF002,slat,slats,slat
Mattresses,defect,CF002,slat,slats,slat
Box Springs,defect,CF002,slat,slats,slat
Sofas & Couches,defect,CF002,slat,slats,slat
Mattress Toppers,defect,CF002,slat,slats,slat
Beds,defect,CF002,slat,slates,slate
Bed Frames,defect,CF002,slat,slates,slate
Mattresses,defect,CF002,slat,slates,slate
Box Springs,defect,CF002,slat,slates,slate
Sofas & Couches,defect,CF002,slat,slates,slate
Mattress Toppers,defect,CF002,slat,slates,slate
All,delivery,CF019,used item,none,none
[NULL],hard to set up,CF010,insturction,insturctions,insturction
[NULL],hard to set up,CF010,insturction,directions,direction
All,sound,CF004,popping,pops,pop
Beds,durability,CF001,slat,spline,spline
Bed Frames,durability,CF001,slat,spline,spline
Mattresses,durability,CF001,slat,spline,spline
Box Springs,durability,CF001,slat,spline,spline
Sofas & Couches,durability,CF001,slat,spline,spline
Mattress Toppers,durability,CF001,slat,spline,spline
Beds,durability,CF001,slat,slate,slate
Bed Frames,durability,CF001,slat,slate,slate
Mattresses,durability,CF001,slat,slate,slate
Box Springs,durability,CF001,slat,slate,slate
Sofas & Couches,durability,CF001,slat,slate,slate
Mattress Toppers,durability,CF001,slat,slate,slate
Beds,durability,CF001,slat,slats,slat
Bed Frames,durability,CF001,slat,slats,slat
Mattresses,durability,CF001,slat,slats,slat
Box Springs,durability,CF001,slat,slats,slat
Sofas & Couches,durability,CF001,slat,slats,slat
Mattress Toppers,durability,CF001,slat,slats,slat
Beds,durability,CF001,slat,slates,slate
Bed Frames,durability,CF001,slat,slates,slate
Mattresses,durability,CF001,slat,slates,slate
Box Springs,durability,CF001,slat,slates,slate
Sofas & Couches,durability,CF001,slat,slates,slate
Mattress Toppers,durability,CF001,slat,slates,slate
All,shipping damage,CF018,shipping damage,[NULL],[NULL]
Beds,durability,CF001,bent,bending,bending
Bed Frames,durability,CF001,bent,bending,bending
Mattresses,durability,CF001,bent,bending,bending
Box Springs,durability,CF001,bent,bending,bending
Sofas & Couches,durability,CF001,bent,bending,bending
Mattress Toppers,durability,CF001,bent,bending,bending
Beds,durability,CF001,bent,deform,deform
Bed Frames,durability,CF001,bent,deform,deform
Mattresses,durability,CF001,bent,deform,deform
Box Springs,durability,CF001,bent,deform,deform
Sofas & Couches,durability,CF001,bent,deform,deform
