reviewId,region,category,asin,date,rating,title,review_text,initialTime
R1IV0SVU659NHU,the United States,Mattresses,B01N5EOUFN,2021-06-18,5,Must have, perfect! ,2021-06-21
R1KSJ4S9MTAOBD,the United States,Mattresses,B087XBSTNG,2021-06-16,5,Bed sagger fixer., love this product. haven't slept this well in months. i highly recommended. ,2021-06-20
R1LKQRQDAT318X,the United States,Box Springs,B086MRC64L,2021-06-14,5,Fit just right!," i was so afraid they would not fit!but they did and are sturdy, providing a good base for my bed. after paying so much to get a good mattress, i didn¡¯t want to sink in with slats that bounce and soften the bed.this board is just what i wanted.lucky me, they fit to perfection. ",2021-06-21
R1PNF0FOPPRGXC,the United States,Mattress Toppers,B07WF9L5BV,2021-06-09,5,This is just what we needed!, i got this for my son's bed and he loves it. i did let it air out for 2 days in the spare room before putting it on his bed. reasonably priced. time will tell how long it holds up. i'm going to get one for my bed now. ,2021-06-15
R1USDM1XHO4V28,the United States,Mattresses,B08PD8VZHR,2021-06-22,5,Buy one, best sleep i ever had. pain is better too. ,2021-06-28
R244CRFM5PFDX6,the United States,Mattresses,B0030UUBMO,2021-06-25,5,Just as described," the mattress fits nicely in my pack n play. it¡¯s not memory foam comfort, but i think it¡¯s much better than the little mat that comes with it. ",2021-06-27
R24Q1JGOKBWHDO,the United States,Bed Frames,B07Z9YQJ9X,2021-06-02,5,It¡¯s perfect, i love this product i actually purchased at the same week i was having a double mastectomy i needed a bed frame that was adjustable and available at the shortest amount of time and within the price range i was looking for. i was able to purchase the adjustable bed frame it was delivered two days before my surgery i was very grateful also underestimated the wait i live in a house that has two stories ( i opted for not having the assembly which will never happen again) however i was able to bring it inside the house inbox and make a phone call they came to the rescue brought up the adjustable frame and i was able to assembly it alone super easy just make sure you just don¡¯t cross some of the wires which i did so the foot button on the remote work for the head and vice versa so i had to go under the bed and switch the cables. so honestly overall i gave it 10 it¡¯s affordable functional! ,2021-06-06
R2DAYU48A8BSB2,the United States,Bed Frames,B071JGBZYW,2021-07-13,4,"Fair cost, easy assembly"," if you¡¯re tight on space, the platform bed is a lifesaver. it will take some adjusting to if you keep box spring.building platform was simple and easy with 2 people. entire design brings a modern appeal. the structure uses 5/8¡± thick square welded metal beams, durable screw set with extras, metal cross beams instead of wood & square tube framing with a center rail to hold more weight with plenty of room for storage beneath.hope it lasts longer than the low price point. it¡¯s been a week since being built and so far no complaints. also helps line up bed with a tv that was mounted high on wall. ",2021-07-19
R2KXMTTOSP95RY,the United States,Mattresses,B089WD17H2,2021-07-17,5,Very Comfy, easy and very comfortable for extra guests ,2021-07-19
R2P7SOXEWGD6VK,the United States,Beds,B01JAY07IQ,2021-06-25,5,Great value," my dog loves it, i have 2 other brands she lays next to not in. very happy with this bed ",2021-06-28
